Course_name,Course_Type,Start_time,End_time,Locations,Staffs
Software Development,Werkcollege,2024-10-28 15:15:00,2024-10-28 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-10-29 09:00:00,2024-10-29 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Hoorcollege,2024-10-29 11:00:00,2024-10-29 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Human-Agent Interaction,Werkcollege,2024-10-30 09:00:00,2024-10-30 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BW.0.39","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-31 15:15:00,2024-10-31 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-31 17:15:00,2024-10-31 19:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-11-01 09:00:00,2024-11-01 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - DM.0.09-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-11-01 11:00:00,2024-11-01 12:45:00,Gorlaeus Building - BW.0.40,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Statistics for Computer Scientists,Hoorcollege,2024-11-01 13:15:00,2024-11-01 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-11-01 15:15:00,2024-11-01 17:00:00,Gorlaeus Building - BW.0.40,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-11-04 11:00:00,2024-11-04 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-11-04 13:15:00,2024-11-04 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Werkcollege,2024-11-04 15:15:00,2024-11-04 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-11-05 09:00:00,2024-11-05 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Hoorcollege,2024-11-05 11:00:00,2024-11-05 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Human-Agent Interaction,Werkcollege,2024-11-06 09:00:00,2024-11-06 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BW.0.39","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-11-07 15:15:00,2024-11-07 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-11-07 17:15:00,2024-11-07 19:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-11-08 09:00:00,2024-11-08 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - DM.0.09-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-11-08 11:00:00,2024-11-08 12:45:00,Gorlaeus Building - BW.0.40,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Automata Theory,Hoorcollege,2024-11-11 11:00:00,2024-11-11 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-11-11 13:15:00,2024-11-11 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Werkcollege,2024-11-11 15:15:00,2024-11-11 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-11-12 09:00:00,2024-11-12 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Hoorcollege,2024-11-12 11:00:00,2024-11-12 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Human-Agent Interaction,Werkcollege,2024-11-13 09:00:00,2024-11-13 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BW.0.39","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-11-14 15:15:00,2024-11-14 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-11-14 17:15:00,2024-11-14 19:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-11-15 09:00:00,2024-11-15 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - DM.0.09-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-11-15 11:00:00,2024-11-15 12:45:00,Gorlaeus Building - BW.0.40,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Statistics for Computer Scientists,Hoorcollege,2024-11-15 13:15:00,2024-11-15 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-11-15 15:15:00,2024-11-15 17:00:00,Gorlaeus Building - BW.0.40,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-11-18 11:00:00,2024-11-18 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
